DISCIPLINE,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e,Mini-Rifle
CHAPTER,58be6713-9388-434a-ae99-9876200e076d,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,873fa5e2-98ed-490e-9657-89592192b645,Carry and Storage and Competitor Equipment,5.2,,f1b89551-b319-420c-af87-6d6db011ed53,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,318b0900-7579-4490-8dc5-a11525867176,Appropriate Dress,5.3,,f1b89551-b319-420c-af87-6d6db011ed53,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,e659a560-6345-40af-937d-49f33a1cd00d,Eye and Ear Protection,5.4,,f1b89551-b319-420c-af87-6d6db011ed53,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,1279795e-bded-4f60-938b-a8baaa6c0634,Ammunition and Related Equipment,5.5,,f1b89551-b319-420c-af87-6d6db011ed53,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,ff1d8809-9349-402c-999f-8692b72a974e,Power Factors,5.6,,f1b89551-b319-420c-af87-6d6db011ed53,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,bffb58f2-b4ee-49fd-9e7a-8162c947e77e,Malfunctions � Competitor�s Equipment,5.7,,f1b89551-b319-420c-af87-6d6db011ed53,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,5e83b8b0-f5ff-4d24-bb73-c59ae763eafc,of the IPSC Constitution.,5.9,,f1b89551-b319-420c-af87-6d6db011ed53,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,7889d768-cf60-404e-845e-6c5e51ea3877,General Principles,6.1,,dfc41363-20ba-4033-a684-3ffc8b80c25b,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,ef815b7e-80c8-4474-a14f-003b4b160b20,Match Divisions,6.2,,dfc41363-20ba-4033-a684-3ffc8b80c25b,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,47735e03-e782-47e6-b369-ac757b189a30,Match Categories,6.3,,dfc41363-20ba-4033-a684-3ffc8b80c25b,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,fee8afb6-e430-42ed-9b62-6c4d44b1fc89,Regional Teams,6.4,,dfc41363-20ba-4033-a684-3ffc8b80c25b,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,b113a4dd-982d-4f01-9012-f86102e9e85a,Competitor Status and Credentials,6.5,,dfc41363-20ba-4033-a684-3ffc8b80c25b,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,1f1d1d02-d8c4-47a9-9639-4ecb64fbc077,Competitor Scheduling and Squadding,6.6,,dfc41363-20ba-4033-a684-3ffc8b80c25b,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,e6d93708-40c1-4537-ba7f-c0442e42ad6a,International Classification System ("ICS"),6.7,,dfc41363-20ba-4033-a684-3ffc8b80c25b,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
