964dffe8-0c6a-40bf-b537-589db081dedd,Squib,Any part of a round lodged inside the barrel of a firearm and/or a bullet which exits the barrel at extremely low velocity. 
542aa9dc-60a8-45c2-8dea-47278b6f1115,Stance ,The physical presentation of a person's limbs (e.g. hands by the side~ arms crossed etc.). 
1d1c4ddb-144f-4af6-904e-773b65fffa10,Start position,The location~ shooting position and stance prescribed by a COF prior to issuance of the Start Signal (see Rule 8.3.4). 
ba90aaf3-1b15-4379-8c18-20940d47d2e6,Sweeping ,Pointing the muzzle of a firearm at any part of the competitor's body during a course of fire when a handgun is held or touched while not securely holstered~ or when a long gun is held while a chamber safety flag is not inserted (see Rule 10.5.5). 
8bdecb21-5bd3-429c-ae1d-f973453d5b68,Target(s),A term that can include both scoring target(s) and no-shoot(s) unless a Rule (e.g. 4.1.3) differentiates between them. 
c39fff96-4ea7-4f83-9482-e42028a15b5e,Target Array ,A collection of approved targets that can only be seen from any single location or view. 
cd024b0e-80b2-49de-b5d2-79e2a9392415,Unloaded,A firearm which is totally devoid of any live or dummy rounds in its chamber(s) and/or in an inserted or fitted magazine(s). 
9952b76a-f24a-402e-b9ef-be2da91244bf,Unloading ,Removal of ammunition from a firearm. 
f8db72d2-9a30-425b-8068-831971872622,Uprange ,The general area of a stage~ shooting bay or range~ rearwards of the default maximum safe angle of fire (see Rule 2.1.2)~ where the muzzle of a firearm must not be pointed during a course of fire (exception: see Rule 10.5.2). 
a6e311d0-2a6f-4e7d-ae83-8f36c569dc89,Will,Mandatory. 
