DISCIPLINE,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367,Action Air
CHAPTER,a4ce27e1-b12c-489b-a590-84c51e8c7aba,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,68043313-f7b8-40bf-bad9-e614f19896f9,Range Equipment Failure and Other Issues,4.6,,6bc8fd9f-4e68-4d76-a6d9-2ee412d57cdd,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,b1c65f2d-1bbb-4608-8afc-bc14b6bce1f3,Firearms,5.1,,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,217fb5e8-7ab3-4832-af0b-6e1462c397cd,Holster and Other Competitor Equipment,5.2,,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,402b51c0-1599-4221-a309-343c671afb6f,Appropriate Dress,5.3,,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,d39d0cb3-cbf1-4bf3-8792-6b208984c646,Eye Protection,5.4,,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,d7ad9c79-c560-4d4b-9633-8d95890c7bbe,Projectiles and Related Equipment,5.5,,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,e63b0947-a816-4da1-9522-de8fa5956472,Power Factor,5.6,,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,7d6b1bcc-9d85-4f3e-a9f2-6517a8677280,Malfunctions � Competitor�s Equipment,5.7,,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,cfc91346-574f-46fe-890c-e3654438eca5,Official Match Propellant,5.8,,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,f700ac0f-f0c2-4387-b9ce-015a00d381f6,of the IPSC Constitution.,5.9,,b01c4f86-56b6-4bf1-b880-2c5a4ae910ba,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,eb0f5fb5-e752-47c4-8cff-8bfa7fa0e30e,General Principles,6.1,,edcbd707-b478-415e-9360-d230212f5c81,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,596c5590-d4fe-411d-974e-25970e6defff,Match Divisions,6.2,,edcbd707-b478-415e-9360-d230212f5c81,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,e11b69fe-3b1e-4f24-aa0f-2a2a9afdf89a,Match Categories,6.3,,edcbd707-b478-415e-9360-d230212f5c81,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,d5c9240a-9e99-4801-97a2-58e162e5aa80,Regional Teams,6.4,,edcbd707-b478-415e-9360-d230212f5c81,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,274e8bbe-aad4-4614-abd8-8342093affce,Competitor Status and Credentials,6.5,,edcbd707-b478-415e-9360-d230212f5c81,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,e937e599-c3a1-4c4e-bf66-3525b7bffa79,Competitor Scheduling and Squadding,6.6,,edcbd707-b478-415e-9360-d230212f5c81,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,cc3ab3eb-1c1d-4731-ad05-c6c841cdcf30,International Classification System ("ICS"),6.7,,edcbd707-b478-415e-9360-d230212f5c81,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,3d3d92e0-73c6-4701-b169-ea67f63bfc90,Match Officials,7.1,,60f6aa81-b445-4ae5-b8d7-391c60b365bc,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,19acd784-617c-4d51-a3a8-7d8bdccbbab9,Discipline of Match Officials,7.2,,60f6aa81-b445-4ae5-b8d7-391c60b365bc,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,613f5d33-4db9-487b-ac43-73d9d6f1ab7a,Appointment of Officials,7.3,,60f6aa81-b445-4ae5-b8d7-391c60b365bc,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,3b0004b4-5fba-49a3-a0f7-e5cbd90c6ba9,Handgun Ready Conditions,8.1,,f4eb2420-3749-4b85-a1fd-9ef20e5cced3,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,ae27810e-b627-48d3-bae6-7c8e7d57bc96,Competitor Ready Condition,8.2,,f4eb2420-3749-4b85-a1fd-9ef20e5cced3,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
