DISCIPLINE,0eb70609-642f-48f7-86e5-21b08cb298f6,MiniRifle
CHAPTER,b7c0e2a7-77ea-4e56-b36c-30b6744b0c47,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,65f6f1f9-c09f-4b88-8f86-e1aa2e496f44,Carry and Storage and Competitor Equipment,5.2,,8c1ae282-3903-468c-979e-65384c02c5ae,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,11d672a8-846d-4bc2-bfa2-708ea47ee90e,Appropriate Dress,5.3,,8c1ae282-3903-468c-979e-65384c02c5ae,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,434416bd-33ac-4c01-9932-39cddf767256,Eye and Ear Protection,5.4,,8c1ae282-3903-468c-979e-65384c02c5ae,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,0d28b0f3-ba05-44c0-855d-d7e8f7a0961c,Ammunition and Related Equipment,5.5,,8c1ae282-3903-468c-979e-65384c02c5ae,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,52d83675-76cc-4314-b746-02068a0076fe,Power Factors,5.6,,8c1ae282-3903-468c-979e-65384c02c5ae,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,1e3c6da4-c640-4d69-8871-ecc9379f65f0,Malfunctions � Competitor�s Equipment,5.7,,8c1ae282-3903-468c-979e-65384c02c5ae,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,42604a59-ec96-4a87-a315-b76577e88910,General Principles,6.1,The following definitions are used for clarity: ,45194104-bd6d-4687-a816-9dfb6779dedc,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,cf38d630-cfe0-4d4c-b03b-650dcebcf7cf,Match Divisions,6.2,,45194104-bd6d-4687-a816-9dfb6779dedc,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,963c3b9d-1a83-459d-afda-0850c2f0c4bf,Match Categories,6.3,,45194104-bd6d-4687-a816-9dfb6779dedc,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,ba0335da-600e-4e39-86d9-66f604904947,Regional Teams,6.4,,45194104-bd6d-4687-a816-9dfb6779dedc,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,12649a11-5aa4-4639-9d4a-ae8e3f0b2407,Competitor Status and Credentials,6.5,,45194104-bd6d-4687-a816-9dfb6779dedc,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,1c64494a-9c0c-4add-b786-29ec510fb215,Competitor Scheduling and Squadding,6.6,,45194104-bd6d-4687-a816-9dfb6779dedc,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,50464749-4478-485b-be9a-a8e3d245b8fd,International Classification System ("ICS"),6.7,,45194104-bd6d-4687-a816-9dfb6779dedc,0eb70609-642f-48f7-86e5-21b08cb298f6
