42fff74f-7a94-4e6c-b945-507af414b3c7,Squib,Any part of a round lodged inside the barrel of a firearm and/or a bullet which exits the barrel at extremely low velocity. 
da0564eb-c22e-4607-81f6-5f3140d12f9a,Stance ,The physical presentation of a person's limbs (e.g. hands by the side~ arms crossed etc.). 
618f86f7-7997-40f4-8841-14525c8d9e7e,Start position,The location~ shooting position and stance prescribed by a COF prior to issuance of the Start Signal (see Rule 8.3.4). 
f3766546-469f-4ef5-939c-dc62ef34f7a5,Sweeping ,Pointing the muzzle of a firearm at any part of the competitor's body during a course of fire when a handgun is held or touched while not securely holstered~ or when a long gun is held while a chamber safety flag is not inserted (see Rule 10.5.5). 
f8b0fa01-4a8d-46f6-8dc2-171b2eaf3428,Target(s),A term that can include both scoring target(s) and no-shoot(s) unless a Rule (e.g. 4.1.3) differentiates between them. 
0295f57b-51e3-40bf-960b-16bae50f4b59,Target Array ,A collection of approved targets that can only be seen from any single location or view. 
868e8d95-c852-47f3-8ceb-efa786ba3058,Unloaded,A firearm which is totally devoid of any live or dummy rounds in its chamber(s) and/or in an inserted or fitted magazine(s). 
d4512c9f-5369-4fd3-93de-adfc7fa195d2,Unloading ,Removal of ammunition from a firearm. 
71146ea8-66b8-48fa-8592-c7ceb657dd99,Uprange ,The general area of a stage~ shooting bay or range~ rearwards of the default maximum safe angle of fire (see Rule 2.1.2)~ where the muzzle of a firearm must not be pointed during a course of fire (exception: see Rule 10.5.2). 
06ffbe42-72b7-473d-8d43-468cca2efde0,Will,Mandatory. 
