949be55f-fe59-4990-9179-50102b9b3d39,Slug,A single projectile in a shotgun cartridge or shell intended to strike a target. 
042a0eb1-f326-4e6f-8f29-ae90be2a46ae,Snap Cap,(Also "spring cap") A type of dummy round. 
2f6d4f15-532a-4dbf-8f2e-3cb9b738ab90,Squib Load,A defective cartridge resulting in one or more projectiles and/or the wad failing to exit the barrel~ or exiting the barrel at extremely low velocity. 
433c9abe-1759-419b-a0d6-5345b3533ccc,Stance ,The physical presentation of a person's limbs (e.g. hands by the side~ arms crossed etc.). 
c062f048-6e7f-4456-86e6-9c37710da4dc,Start position,The location~ shooting position and stance prescribed by a COF prior to issuance of the Start Signal (see Rule 8.3.4). 
fed6ad78-4c10-4946-9ff4-18f1e7bbffa0,Sweeping ,Pointing the muzzle of a firearm at any part of the competitor's body during a course of fire when a handgun is held or touched while not securely holstered~ or when a long gun is held while a chamber safety flag is not inserted (see Rule 10.5.5). 
6ea43322-e495-41f6-b3b4-6ae40b2a2fc1,Target(s),A term that can include both scoring target(s) and no-shoot(s) unless a Rule (e.g. 4.1.3) differentiates between them. 
6a3a3447-7b96-4271-b7be-4cd3bc1cbe09,Target Array ,A collection of approved targets that can only be seen from any single location or view. 
3be4b0ef-a4a9-4c53-9746-86bc52d61693,Unloaded,A firearm which is totally devoid of any live or dummy rounds in its chamber(s) and/or in an inserted or fitted magazine(s). 
afc326ac-0e39-42ff-902a-8dcc19aaa83c,Unloading ,Removal of ammunition from a firearm. 
46562ec3-bf45-4df9-bcfc-240204c63478,Uprange ,The general area of a stage~ shooting bay or range~ rearwards of the default maximum safe angle of fire (see Rule 2.1.2)~ where the muzzle of a firearm must not be pointed during a course of fire (exception: see Rule 10.5.2). 
7a33cc41-c479-4f1c-9e64-58fbb749504a,Wad,Incorporated within a shotgun cartridge or shell to create a gas seal and which may also hold the shot together (not necessarily intended to strike a target). 
bb17eb3a-3c63-4f92-affd-01873ab6e18e,Wads (Conventional) ,Fiber wads or plastic wads designed to start opening and separating from the pellets immediately on exiting the barrel. Conventional wads have slits cut from the front of the wad and the resultant petals open up from the front. They do not protect the pellets in flight after exiting the barrel. Wads (Specialized Long-range) Wads designed to encapsulate and/or surround the pellets and after exiting the barrel remain in place during the early part of the flight to hold the pellets together. These wads do not usually have slits cut from the front of the wad. 
c698168e-5629-4db0-94b7-f94e308633cf,Will,Mandatory. 
